"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","adjective","trial_num","is_correct"
"","jo-play-tone","32","180147","0.0-32.0","","","","","","_10521905","key_trial","1975.53","250","right","","",""
"","html-keyboard-response","33","181132","0.0-33.0","","","982.6000001430511","<span style='font-size:2vw'>Every sound was serene.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","serene","2",""
"","html-keyboard-response","34","181636","0.0-34.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","35","184648","0.0-35.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","36","185925","0.0-36.0","","","","","","_10521905","key_trial","1318.51","250","right","","",""
"","html-keyboard-response","37","186258","0.0-37.0","","","331.5","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","1318.51","","right","","2","true"
"","html-keyboard-response","38","186767","0.0-38.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","39","188771","0.0-39.0","","","null","<div><span style=""font-size:2vw"">Every sound is positive.</div>","null","_10521905","fixation","","","","positive","",""
"","jo-play-tone","40","190036","0.0-40.0","","","","","","_10521905","key_trial","349.23","250","avg","","",""
"","jo-play-tone","41","191299","0.0-41.0","","","","","","_10521905","key_trial","233.08","250","avg","","",""
"","jo-play-tone","42","192555","0.0-42.0","","","","","","_10521905","key_trial","155.56","250","avg","","",""
"","html-keyboard-response","43","193351","0.0-43.0","","","795.1000001430511","<span style='font-size:2vw'>Every sound was positive.<br><br>Do you agree?<br><br>A=YES, L=NO","76","_10521905","resp_trial","","","","positive","3",""
"","html-keyboard-response","44","193862","0.0-44.0","","","null","<div style=""font-size:60px;""></div>","null","_10521905","blank","","","","","",""
"","html-keyboard-response","45","196867","0.0-45.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_10521905","fixation","","","","","",""
"","jo-play-tone","46","198131","0.0-46.0","","","","","","_10521905","key_trial","245.9566666666667","250","avg","","",""
"","html-keyboard-response","47","200196","0.0-47.0","","","2063.5999999046326","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","65","_10521905","resp_trial","245.9566666666667","","avg","","3","false"
