"success","trial_type","trial_index","time_elapsed","internal_node_id","screen_width","screen_height","rt","stimulus","key_press","subj_id","test_part","freq","duration","condition","adjective","trial_num","is_correct","responses","completion_code","resp_age","resp_gender","resp_music","resp_expt","resp_experience","resp_problems","resp_final","resp_attention"
"","html-keyboard-response","249","380457","0.0-249.0","","","null","<div><span style=""font-size:2vw"">Every sound is enjoyable.</div>","null","_","fixation","","","","enjoyable","","","","","","","","","","","",""
"","jo-play-tone","250","381721","0.0-250.0","","","","","","_","key_trial","587.33","250","wrong","","","","","","","","","","","","",""
"","jo-play-tone","251","382986","0.0-251.0","","","","","","_","key_trial","1318.51","250","wrong","","","","","","","","","","","","",""
"","jo-play-tone","252","384248","0.0-252.0","","","","","","_","key_trial","880","250","wrong","","","","","","","","","","","","",""
"","html-keyboard-response","253","385801","0.0-253.0","","","1550.7999999523163","<span style='font-size:2vw'>Every sound was enjoyable.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","enjoyable","24","","","","","","","","","","",""
"","html-keyboard-response","254","386305","0.0-254.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","255","389313","0.0-255.0","","","null","<div><span style=""font-size:2vw"">Memory test:<br>Did you just hear this sound?<p>Get ready...</div>","null","_","fixation","","","","","","","","","","","","","","","",""
"","jo-play-tone","256","390576","0.0-256.0","","","","","","_","key_trial","440","250","wrong","","","","","","","","","","","","",""
"","html-keyboard-response","257","390875","0.0-257.0","","","296.40000009536743","<span style='font-size:2vw'>Did you just hear this sound?<br><br>A=YES, L=NO","76","_","resp_trial","440","","wrong","","24","true","","","","","","","","","",""
"","html-keyboard-response","258","391385","0.0-258.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
"","html-keyboard-response","259","393387","0.0-259.0","","","null","<div><span style=""font-size:2vw"">Every sound is dull.</div>","null","_","fixation","","","","dull","","","","","","","","","","","",""
"","jo-play-tone","260","394649","0.0-260.0","","","","","","_","key_trial","73.42","250","right","","","","","","","","","","","","",""
"","jo-play-tone","261","395913","0.0-261.0","","","","","","_","key_trial","110","250","right","","","","","","","","","","","","",""
"","jo-play-tone","262","397177","0.0-262.0","","","","","","_","key_trial","49","250","right","","","","","","","","","","","","",""
"","html-keyboard-response","263","397557","0.0-263.0","","","376.89999985694885","<span style='font-size:2vw'>Every sound was dull.<br><br>Do you agree?<br><br>A=YES, L=NO","65","_","resp_trial","","","","dull","25","","","","","","","","","","",""
"","html-keyboard-response","264","398063","0.0-264.0","","","null","<div style=""font-size:60px;""></div>","null","_","blank","","","","","","","","","","","","","","","",""
